,company_name,company_type,company_subtype
2783,Chemical Insurance Company Limited,B2BC,Residential/Commercial
2784,Professional Insurance Limited,B2BC,Financial Services
2785,High-Point (Bermuda) Ltd.,B2BC,Residential/Commercial
2786,"Creole Insurance Company, Ltd.",B2BC,Residential/Commercial
2787,"Honore Insurance Company, Ltd.",B2BC,Residential/Commercial
2788,ALPHEGA INSURANCE LTD.,B2BC,Financial Services
2789,Golden West Indemnity Company Limited,B2BC,Financial Services
2790,Aon Insurance Managers (Bermuda) Ltd.,B2BC,Financial Services
2791,Castle Harbour Insurance Limited,B2BC,Residential/Commercial
2792,ASHFORD COMPANY LIMITED,B2BC,Contractor
2793,High Ridge Company Limited,B2BC,Contractor
2794,General International Limited,B2B,Wholesale  Dealer
2795,Ocean Glory Limited,B2BC,Dealer
2796,ORANGE ASSURANCE LIMITED,B2BC,Financial Services
2797,Pembroke Reinsurance Co. Ltd.,B2BC,Dealer
2798,Minerva Insurance Co. Ltd.,B2BC,Residential/Commercial
2799,"Curtis Bay Insurance Co., Ltd.",B2BC,Residential/Commercial
2800,"Chesterbrook Insurance, Ltd.",B2BC,Financial Services
2801,GeneralCologne Re (Bermuda) Ltd.,B2BC,Dealer
2802,Landmark Insurance Limited,B2BC,Residential/Commercial
2803,Aon Group (Bermuda) Ltd.,B2BC,Contractor
2804,Life Re International Ltd.,B2B,Wholesale  Dealer
2805,"New Vision Insurance, Ltd.",B2BC,Financial Services
2806,E. D. & F.  Man Holdings Insurances Limited,B2BC,Residential/Commercial
2807,"Tyson International Company, Ltd.",B2B,Wholesale  Dealer
2808,"Illiana Insurance Co., Ltd.",B2BC,Residential/Commercial
2809,PENNSYLVANIA MANUFACTURERS' INTERNATIONAL INSURANCE LTD.,B2BC,Financial Services
2810,Aon (Bermuda) Ltd.,B2BC,Contractor
2811,"Thermo Re, Ltd.",B2BC,Contractor
2812,CAVALIER INSURANCE COMPANY LTD.,B2BC,Residential/Commercial
2813,Clariant Reinsurance Ltd.,B2BC,Financial Services
2814,Global Investors Insurance Ltd.,B2BC,Financial Services
2815,"New Age Insurance, Ltd.",B2BC,Financial Services
2816,SunArise Insurance Company Ltd.,B2BC,Financial Services
2817,SwissRe Finance (Bermuda) Ltd.,B2BC,Financial Services
2818,White Rock Insurance (Americas) Ltd.,B2BC,Financial Services
2819,SwissRe Investments (Bermuda) Ltd.,B2BC,Residential/Commercial
2820,DCH Insurance Company Limited,B2BC,Financial Services
2821,"The Great Southeast Insurance Company, Ltd.",B2BC,Residential/Commercial
2822,Consolidated Resources Insurance Group Ltd.,B2BC,Financial Services
2823,GAI (Bermuda) Ltd.,B2BC,Food
2824,PHICO Re Ltd.,B2BC,Contractor
2825,Unity Limited,B2BC,Contractor
2826,"Ono Insurance Company, Ltd.",B2BC,Residential/Commercial
2827,ASM Pacific (Bermuda) Limited,B2BC,Contractor
2828,"CONSOLIDATED AMERICAN RENTAL INSURANCE CO., LTD.",B2BC,Residential/Commercial
2829,Noah Insurance Company Ltd.,B2BC,Residential/Commercial
2830,DIAMOND K LIMITED,B2BC,Dealer
2831,CORPORATE INSURERS LIMITED,B2BC,Financial Services
2832,GM Imports & Trading Ltd.,B2B,Wholesale  Dealer
2833,KS Investments Ltd.,B2BC,Residential/Commercial
2834,CBS Insurance Company Limited,B2BC,Residential/Commercial
2835,WASHINGTON ASSURANCE LTD.,B2BC,Financial Services
2836,"Olmeca Cable Investments, Ltd.",B2BC,Electrical Contractor
2837,WorldTel Holding Limited,B2BC,Contractor
2838,"A.M. Funding Corporation, Limited",B2BC,Financial Services
2839,"Portsmouth Funding (Bermuda), Ltd.",B2BC,Financial Services
2840,Platinion Ltd.,B2BC,Dealer
2841,Boston Re Ltd.,B2BC,Contractor
2842,"AssuranceOne, Ltd.",B2BC,Financial Services
2843,Teledyne Technologies (Bermuda) Limited,B2BC,Computer Services
2844,BCG Ventures (Bermuda) Ltd.,B2BC,Residential/Commercial
2845,QuoVadis Limited,B2BC,Computer Services
2846,Fairview Insurance Group Ltd.,B2BC,Residential/Commercial
2847,"Millipore Bioscience Caribe, Ltd.",B2BC,Dealer
2848,Twin Bridges (Bermuda) Ltd.,B2BC,Contractor
2849,Solution Insurance Ltd.,B2BC,Financial Services
2850,"Red Iron Insurance, Limited",B2BC,Financial Services
2851,Oakwood Worldwide Insurance Company Limited,B2BC,Financial Services
2852,Barmas Insurance Company Ltd,B2BC,Residential/Commercial
2853,"American Senterfitt Insurance Company, Ltd.",B2BC,Financial Services
2854,Hemisphere Global Opportunities Partners Ltd.,B2BC,Referral Services
2855,"Global Risk Trading (Bermuda), Ltd.",B2B,Wholesale  Dealer
2856,"Lagniappe Insurance Company, Ltd.",B2BC,Residential/Commercial
2857,Chubb Atlantic Indemnity Ltd.,B2BC,Financial Services
2858,BCG Ventures (Bermuda) II Ltd.,B2BC,Residential/Commercial
2859,"Brick Insurance Company, Ltd.",B2BC,Residential/Commercial
2860,SwissRe Capital Management (Bermuda) Ltd.,B2BC,Financial Services
2861,"Pirogue Insurance Company, Ltd.",B2BC,Residential/Commercial
2862,Philadelphia Financial Life Assurance Company (Bermuda) Ltd.,B2BC,Financial Services
2863,Philadelphia Financial Life International Ltd.,B2BC,Financial Services
2864,ACM Holdings GP Ltd.,B2BC,Residential/Commercial
2865,"DCS Risk Management, Ltd.",B2BC,Security Services
2866,Blue Danube Ltd.,B2BC,Contractor
2867,Aeolus Re J12 SPI Ltd.,B2BC,Dealer
2868,J12 Birchwood SAC Holdco Ltd.,B2BC,Residential/Commercial
2869,Horseshoe Re II Limited,B2BC,Contractor
2870,MS Financial Reinsurance Limited,B2BC,Financial Services
2871,Golden State Re Ltd.,B2BC,Contractor
2872,Aeolus Property Catastrophe Fund GP Ltd.,B2BC,Residential/Commercial
2873,Awbury Insurance Ltd.,B2BC,Financial Services
2874,MY12 SAC Holdco Ltd.,B2BC,Contractor
2875,Javelin Re II Ltd.,B2BC,Contractor
2876,Ariel Indemnity Limited,B2BC,Financial Services
2877,Reliance Global Insurance Limited,B2BC,Financial Services
2878,"AlphaCat Re 2012, Ltd.",B2BC,Contractor
2879,Canopius Holdings Limited,B2BC,Residential/Commercial
2880,Hedmark Investment Ltd.,B2BC,Residential/Commercial
2881,Everglades Re Ltd.,B2BC,Residential/Commercial
2882,"BIS, Ltd.",B2BC,Food
2883,MY12 Birchwood SAC A Holdco Ltd.,B2BC,Residential/Commercial
2884,MY12 Birchwood SAC B Holdco Ltd.,B2BC,Residential/Commercial
2885,Tar Heel Re Ltd.,B2BC,Contractor
2886,Canopius Reinsurance Limited,B2BC,Financial Services
2887,Meridian Insurance Company Limited,B2BC,Residential/Commercial
2888,Bosphorus Re Ltd.,B2BC,Dealer
2889,Skuld Holding Ltd.,B2BC,Contractor
2890,Skuld II Reinsurance (Bermuda) Ltd.,B2BC,Financial Services
2891,"Lion Reinsurance Company, Ltd.",B2BC,Financial Services
2892,BERMUDA WATER CONSULTANTS LIMITED,B2B,Wholesale  Dealer
2893,Inter-Ocean Management Limited,B2B,Wholesale  Dealer
2894,"REPUBLIC FIDUCIARY, INC.",B2BC,Financial Services
2895,Grand Army W Guarantor #6 Limited,B2BC,Dealer
2896,Best Doctors Insurance Limited,B2BC,Financial Services
2897,Amber Partners (Bermuda) Ltd,B2BC,Financial Services
2898,Data Holdings Limited,B2BC,Residential/Commercial
2899,Longe Energy Limited,B2BC,Electrical Contractor
2900,USW Real Estate Holding Ltd,B2BC,Real Estate Dealer
2901,Grand Army W Guarantor #4 Limited,B2BC,Dealer
2902,Grand Army Guarantor #10 Limited,B2BC,Dealer
2903,Kailash Ltd.,B2BC,Contractor
2904,Langhorne Re Limited,B2BC,Financial Services
2905,Romagnola Re Limited,B2BC,Dealer
2906,B2X International Ltd.,B2B,Wholesale  Dealer
2907,EQB Offshore Ltd.,B2BC,Contractor
2908,Wharfside Private Trust Company Limited,B2BC,Residential/Commercial
2909,Nabors Blue Shield Ltd.,B2BC,Contractor
2910,Scorpion Freedom Ltd.,B2BC,Dealer
2911,GenShare Ltd.,B2B,Wholesale  Dealer
2912,C.T. Group Services Bermuda Ltd.,B2BC,Contractor
2913,C.T. Development Bermuda Ltd.,B2BC,Contractor
2914,BOCA Leasing (Bermuda) Limited,B2BC,Residential/Commercial
2915,Thermo Fisher Re Ltd.,B2BC,Contractor
2916,Radant Properties Limited,B2BC,Residential/Commercial
2917,"Green Energy Technologies, Ltd.",B2BC,Electrical Contractor
2918,Loon Colombia Limited,B2B,Wholesale  Dealer
2919,Loon Energy Holdings Limited,B2BC,Contractor
2920,Afinia Gamma Ltd.,B2BC,Dealer
2921,Informa Bermuda Ltd.,B2BC,Dealer
2922,Ingersoll-Rand International Holding Limited,B2BC,Residential/Commercial
2923,Colt Company 1 Limited,B2BC,Dealer
2924,Colt Company 2 Limited,B2BC,Dealer
2925,Asterix Ltd.,B2BC,Dealer
2926,RTS Trading Ltd.,B2B,Wholesale  Dealer
2927,World Equities III Limited,B2BC,Dealer
2928,Dynamic Drilling Ltd.,B2BC,Contractor
2929,ProtoStar III Ltd.,B2BC,Contractor
2930,Jersey Re Ltd.,B2BC,Contractor
2931,"Cornelio, Lachman & Company Limited",B2BC,Financial Services
2932,BassDrill Alpha Ltd.,B2BC,Contractor
2933,Deep Sea Metro Ltd.,B2BC,Contractor
2934,Global Avionics (Bermuda) Limited,B2B,Wholesale  Dealer
2935,EMC International Holdings Limited,B2BC,Residential/Commercial
2936,EMC Information Systems Company,B2BC,Computer Services
2937,Viking International Limited,B2B,Wholesale  Dealer
2938,Riata Energy Turkiye Ltd.,B2BC,Food
2939,PPF Holdings II Ltd.,B2BC,Residential/Commercial
2940,PPF Holdings III Ltd.,B2BC,Residential/Commercial
2941,Reliance International Ltd.,B2B,Wholesale  Dealer
2942,Longjump Ltd.,B2BC,Dealer
2943,SeaCo Ltd.,B2BC,Contractor
2944,SeaCo Finance Ltd.,B2BC,Financial Services
2945,PHI International Holding Limited,B2B,Wholesale  Dealer
2946,PHI International (Bermuda) Holding Limited,B2BC,Residential/Commercial
2947,Golden Close Maritime Corp. Ltd.,B2BC,Dealer
2948,Chloe Marine Corporation Ltd.,B2B,Wholesale  Dealer
2949,Seajacks Merman Marine Ltd.,B2B,Wholesale  Dealer
2950,Altitude X3 Ltd.,B2BC,Dealer
2951,Neutron Peg Ltd.,B2BC,Dealer
2952,Cloud Limited,B2BC,Dealer
2953,Blizzard Limited,B2BC,Dealer
2954,Monsoon Limited,B2BC,Food
2955,Rainbow Limited,B2BC,Contractor
2956,Invesco Investments (Bermuda) Ltd.,B2BC,Residential/Commercial
2957,Wafra Strategic GP Ltd.,B2BC,Contractor
2958,Allied Productions Limited,B2BC,Electrical Contractor
2959,Split Level Overseas Ltd.,B2B,Wholesale  Dealer
2960,MENA Venture Investments Ltd.,B2BC,Residential/Commercial
2961,CAI (PTC) Limited,B2BC,Financial Services
2962,Hiscox Agency Ltd,B2B,Wholesale  Dealer
2963,TDT 064 Ltd.,B2BC,Contractor
2964,PSQR Capital Management (Bermuda) Ltd.,B2BC,Financial Services
2965,"PanaGen, Limited",B2BC,Dealer
2966,Fund Solutions Ltd.,B2BC,Financial Services
2967,MAC Financial Ltd,B2BC,Financial Services
2968,APS Ltd.,B2BC,Contractor
2969,Apogee Wealth Services Ltd.,B2BC,Financial Services
2970,Bickenstaff & Knowles Bermuda Limited,B2BC,Residential/Commercial
2971,Cosmo Development Ltd.,B2BC,Contractor
2972,SOMMERS INTERNATIONAL LIMITED,B2B,Wholesale  Dealer
2973,SIF (Bermuda) Investments No 1 Limited,B2BC,Residential/Commercial
2974,ALLEGRO VACATION CLUB (ARUBA) N.V.,B2BC,Travel Agent
2975,GLOBAL ACCESS CORPORATION N.V. - INTERTRANSFER,B2BC,Security Services
2976,GLOBAL ACCESS CORPORATION N.V. - INTERTRANSFER,B2BC,Security Services
2977,GLOBAL ACCESS CORPORATION N.V. - INTERTRANSFER,B2BC,Security Services
2978,GLOBAL ACCESS CORPORATION N.V. - INTERTRANSFER,B2BC,Security Services
2979,GLOBAL ACCESS CORPORATION N.V. - INTERTRANSFER,B2BC,Security Services
2980,MICRO SUPPORT & FINANCIAL SERVICES,B2BC,Financial Services
2981,MICRO SUPPORT & FINANCIAL SERVICES,B2BC,Financial Services
2982,Y.P. GENERAL POWER CONSTRUCTION & SERVICES,B2BC,Contractor
2983,PACHECO ALL SUPPLY,B2B,Wholesale  Dealer
2984,ALL SAFETY WEAR,B2BC,Dealer
2985,ISSE ENTERPRISES N.V. - ALL SAFETY WEAR,B2BC,Dealer
2986,KENASHKIM SOUVENIR,B2BC,Dealer
2987,TAKE AWAY SASI,B2BC,Food
2988,ZEPA CONSTRUCTION,B2BC,Contractor
2989,DANESHKA IMPORT & EXPORT,B2B,Wholesale  Dealer
2990,ELECON HOME SERVICE,B2BC,Contractor
2991,CONSTRUCION CAS N.V.,B2BC,Entertainment Services
2992,TROPICAL CONTRACTORS N.V.,B2BC,Contractor
2993,SARI BEAUTY SALON,B2C,Health and Beauty
2994,SARI BOUTIQUE & MORE,B2BC,Dealer
2995,SARY BEAUTY SALON SPA,B2C,Health and Beauty
2996,PIALE ENTERPRISES N.V. - PASTISSIMA,B2BC,Food
2997,PIALE ENTERPRISES N.V. - PASTISSIMA IMPORT,B2BC,Food
2998,THE GRILL BOSS,B2BC,Food
2999,REAL BUSINESS REAL ESTATE N.V.,B2BC,Real Estate Dealer
3000,FRUTERIA HOOIBERG,B2BC,Dealer
3001,MOBILE WORLD,B2BC,Dealer
3002,BAREFEET MEDIA,B2BC,Computer Services
3003,RHYTHM & BOOZE MUSIC BAR ARUBA,B2C,Liquor Establishment
3004,P & F TRADING CORPORATION N.V.,B2B,Wholesale  Dealer
3005,SPYKESVILLE A.V.V.,B2BC,Dealer
3006,AFRIVEN INVESTMENTS A.V.V.,B2BC,Residential/Commercial
3007,UNIFORCE CORPORATION A.V.V.,B2BC,Dealer
3008,ARUBA RUM FREEZONE CO. N.V.,B2BC,Food
3009,COOPERS BAY CORPORATION A.V.V.,B2BC,Contractor
3010,PTH FINANCIAL LIMITED,B2BC,Financial Services
3011,VADILBEX INVESTMENTS LIMITED,B2BC,Residential/Commercial
3012,BEAUFORT CORPORATION,B2BC,Residential/Commercial
3013,"FINANCORP FUNDS, SCC",B2BC,Financial Services
3014,AIT TECHNOLOGIES LIMITED,B2BC,Computer Services
3015,PURA VIDA SRL,B2BC,Food
3016,"NAS FSC, INC.",B2B,Wholesale  Dealer
3017,PAOPATOSCALE INC.,B2C,Health and Beauty
3018,OAPP INVESTMENTS LIMITED,B2BC,Residential/Commercial
3019,FINTRADE SERVICES INC.,B2BC,Financial Services
3020,INTER-CONTINENTAL CONNECTIONS S.A.,B2BC,Moving/Transfer Service
3021,Pulp Holding Malta Limited,B2B,Wholesale  Dealer
3022,DUPLI LIMITED,B2BC,Dealer
3023,PACIENTE LIMITED,B2BC,Food
3024,GALIMA INTERNATIONAL LIMITED,B2B,Wholesale  Dealer
3025,SMARTJAY LTD.,B2BC,Computer Services
3026,EUROGEOMIN IMPORT-EXPORT S.A.,B2B,Wholesale  Dealer
3027,BKLY CORP.,B2BC,Dealer
3028,INFOCORP VENTURES LTD.,B2BC,Computer Services
3029,CRESKING INVESTMENTS LIMITED,B2BC,Residential/Commercial
3030,KENTWICK ENTERPRISES LIMITED,B2BC,Residential/Commercial
3031,Montebar Investments Limited,B2BC,Residential/Commercial
3032,WILLMINE HOLDINGS LIMITED,B2BC,Residential/Commercial
3033,TALOCHE MARKETING INC.,B2BC,Computer Services
3034,YVONNE CONSTRUCTION & CLEANING N.V.,B2BC,Contractor
3035,ELITE PREMIUM INC.,B2BC,Auto
3036,ELDES INVESTMENTS N.V.,B2BC,Residential/Commercial
3037,MAGALY SNACK,B2BC,Food
3038,TRIPLE A INVESTMENTS N.V.,B2BC,Financial Services
3039,Y.J. MANPOWER V.O.F.,B2BC,Employment Agency
3040,POSADA AMAAL,B2BC,Residential/Commercial
3041,BMC REAL ESTATE II INC.,B2BC,Real Estate Dealer
3042,BM REAL ESTATE INC.,B2BC,Real Estate Dealer
3043,ABERTAFF INVESTMENTS LIMITED,B2BC,Residential/Commercial
3044,LORPA L & P  S.A.,B2BC,Food
3045,BULLEN ENTERPRISE S.A.,B2BC,Dealer
3046,MOSQUERA LEGAL S.A.,B2C,Personal Services
3047,DAUNT S.A.,B2BC,Dealer
3048,HILLSDALE EQUITIES CORP.,B2BC,Financial Services
3049,ESTEY INTERNATIONAL LTD.,B2B,Wholesale  Dealer
3050,GLOBE POINT MEDIA S. A.,B2BC,Studio
3051,"INTERNATIONAL GENERAL BROKERAGE BUSINESS, INC.",B2BC,Dealer
3052,Cuyagua Ltd.,B2BC,Food
3053,Maersuda Ltd.,B2BC,Dealer
3054,HIGHLANDER FARMS LIMITED,B2BC,Residential/Commercial
3055,HT MOBILE GROUP INC.,B2BC,Computer Services
3056,AV 25 Promotions Limited,B2BC,Entertainment Services
3057,AQR Re Ltd.,B2BC,Contractor
3058,NIMAFERXI REPRESENTACIONES,B2BC,Dealer
3059,NIMAFERXI ARUBA CONSULTING & MANPOWER,B2BC,Employment Agency
3060,GARIBALDI TABERNA,B2BC,Food
3061,CARIBBEAN BAR,B2C,Liquor Establishment
3062,GAVIOTAS BAR,B2BC,Food
3063,GAVIOTAS BAR,B2BC,Food
3064,MCQUEENS QUAD TOUR,B2BC,Entertainment Services
3065,ESCOVIDA RENTALS & TOURS N.V.,B2BC,Travel Agent
3066,CELIPED COMERCIALIZADORA,B2BC,Food
3067,MALEK GENERAL SERVICES,B2B,Janitorial Services
3068,CELIPED COMERCIALIZADORA N.V.,B2BC,Food
3069,FUN TOYS ARUBIANA & CORPORATION N.V.,B2BC,Dealer
3070,HOTEMAR A.V.V.,B2BC,Contractor
3071,TROPIHOTEL A.V.V.,B2BC,Food
3072,BLUE TURTLE BOUTIQUE,B2BC,Dealer
3073,SEGURIDAD NACIONAL ARUBA,B2BC,Food
3074,MARMOS GARAGE,B2BC,Auto
3075,MARMOS GARAGE,B2BC,Auto
3076,ALL CAR CARE GARAGE,B2BC,Auto
3077,ARCA FASHION,B2BC,Dealer
3078,KEVSSOUVENIR & MORE,B2BC,Dealer
3079,JANCO BUSINESS LIMITED,B2BC,Contractor
3080,JANCO BUSINESS LIMITED,B2BC,Contractor
3081,KESTREL TRADE GROUP S.A.,B2BC,Dealer
3082,BALNEY PROPERTIES INC.,B2BC,Residential/Commercial
3083,DANANIR CORPORATION N.V.,B2BC,Contractor
3084,ACADEMIA  DE MASAJE MARBEN,B2BC,Instruction
3085,MONROY CONSTRUCTION & CLEANING CO,B2B,Janitorial Services
3086,CHAVA BEAUTY SALON,B2C,Health and Beauty
3087,CELCAR EXPRESS,B2BC,Food
3088,PHARMAMED HEALTHCARE CORP.,B2BC,Food
3089,SIGMACARGO S.A.,B2BC,Dealer
3090,H3O CORPORATION,B2BC,Dealer
3091,BEAUTYSALON DIAMOND,B2BC,Dealer
3092,"LASSITER LAMP, LTD.",B2BC,Dealer
3093,ALCUADRADO INTERNATIONAL S.A.,B2B,Wholesale  Dealer
3094,ENTROPIA LIMITED,B2BC,Dealer
3095,MONET ARTISTIC GALLERY,B2BC,Dealer
3096,CHANGE BEAUTY SALON,B2C,Health and Beauty
3097,JULIANA BEAUTY SALON,B2C,Health and Beauty
3098,TANGLE KIDS SALON SPA & BOUTIQUE,B2C,Health and Beauty
3099,SAYBOLT ARUBA N.V.,B2BC,Food
3100,TEAM BETTER BODIES ARUBA,B2C,Health and Beauty
3101,MC ELEVEN,B2BC,Food
3102,GOOD CARE IMPORT & EXPORT,B2B,Wholesale  Dealer
3103,MC ELEVEN CONSTRUCTION,B2BC,Contractor
3104,MITZUYAN ENTERPRISES N.V. - PRIME CONTRACTORS,B2BC,Contractor
3105,LACHLAN TRADING S.A.,B2B,Wholesale  Dealer
3106,SALUD MARKET PANAMÁ S.A.,B2BC,Food
3107,OAKHOUSE HOLDING S.A.,B2BC,Contractor
3108,PREMIUM PETROLEUM SERVICES CORP.,B2B,Wholesale  Dealer
3109,CLAREDALE HOLDINGS S.A.,B2BC,Residential/Commercial
3110,OLBERG RESOURCES S.A.,B2BC,Financial Services
3111,PROMENT INTERNATIONAL S.A.,B2BC,Referral Services
3112,LONGERSON INTERNATIONAL INC.,B2B,Wholesale  Dealer
3113,ADELSON COMPANY S.A.,B2B,Wholesale  Dealer
3114,ELLER MILSON LTD.,B2BC,Dealer
3115,Almasanta Ltd.,B2B,Wholesale  Dealer
3116,Shefield Resources Inc.,B2BC,Financial Services
3117,MY FLOWER GARDEN,B2BC,Dealer
3118,UNIFORM CENTER & SIGN,B2BC,Dealer
3119,PYRAMIDE CENTER,B2C,Health and Beauty
3120,UNIFORM CENTER & SIGN,B2BC,Dealer
3121,CROSS FITNESS ARUBA,B2BC,Instruction
3122,E PALACIO DI GYM,B2C,Health and Beauty
3123,MUSCLES & LUNGS CROSSFITNESS ARUBA N.V.,B2C,Health and Beauty
3124,FUNNYLAND SPEELSCHOOL,B2BC,Food
3125,KIDS WORLD,B2BC,Dealer
3126,CENTRO SPECIAL INTEGRAL BO POR,B2C,Health and Beauty
3127,FUNDACION CASA DE RESTAURACION REFUGIO DEL ALTISIMO,PUB,Community Association
3128,PALACIO CONSTRUCTION,B2BC,Contractor
3129,M.E.D.P. ADENTAL CLINIC VBA,B2C,Health and Beauty
3130,ADENTAL LABORATORIO,B2C,Health and Beauty
3131,O.J. COOL SERVI,B2C,Personal Services
3132,Daisy's Home Inc.,B2BC,Dealer
3133,MUNDIS LTD.,B2BC,Dealer
3134,HORIZON INVESTMENT GROUP INC.,B2BC,Contractor
3135,LEISTER BUSINESS S.A.,B2BC,Dealer
3136,MARSWAY HOLDINGS INC.,B2BC,Residential/Commercial
3137,AUSTRAL DEVELOPMENT LIMITED,B2BC,Contractor
3138,Klatch Inc.,B2BC,Dealer
3139,BRUMMEL TRADING S.A.,B2B,Wholesale  Dealer
3140,CONSTELA S.A.,B2BC,Dealer
3141,AUTO ZONE CONSULTANT LTD.,B2BC,Auto
3142,SERLISA INC,B2B,Wholesale  Dealer
3143,ETANO Y DERIVADOS S.A.,B2C,Health and Beauty
3144,XOM VENTAS S.A.,B2BC,Contractor
3145,EL MONPEAN INTERNATIONAL SOCIEDAD ANONIMA,PUB,Community Association
3146,KESTREL EQUITIES INC.,B2BC,Dealer
3147,DORMAND HOLDING LIMITED,B2BC,Residential/Commercial
3148,BAYPORT OVERSEAS BUSINESS S.A.,B2BC,Referral Services
3149,DL Floors (H.K.) INC.,B2BC,Contractor
3150,JOSEPH CAPITAL MANAGEMENT INC.,B2BC,Financial Services
3151,ECCLESTON ASSOCIATES S.A.,B2BC,Financial Services
3152,PERFECT PROPERTIES GLOBAL INC.,B2BC,Real Estate Dealer
3153,CAICOS PROPERTY CORP.,B2BC,Real Estate Dealer
3154,WILLIAM E. SIMON & SONS (BVI) LIMITED,B2BC,Contractor
3155,Morrison Star Corp.,B2B,Wholesale  Dealer
3156,SA1 DEBENTURES LIMITED,B2BC,Financial Services
3157,INVESTOR RELATIONS ASIA PACIFIC LTD.,B2BC,Financial Services
3158,AROS INTERNATIONAL CORPORATION,B2B,Wholesale  Dealer
3159,KINORO LIMITED,B2BC,Dealer
3160,MAIZE WORLDWIDE LTD.,B2BC,Food
3161,ZZZ-FINVEN FINANCIAL INSTITUTION LIMITED,B2BC,Financial Services
3162,Agropecuaria Mez Ltd.,B2B,Wholesale  Dealer
3163,ESTRADA TURBO TRUCK & TRACTOR N.V.,B2BC,Auto
3164,MARKETMATCH ARUBA N.V.,B2BC,Food
3165,LIL'S LOBSTER BOX VBA (I.L.),B2BC,Food
3166,PRECIOUS STONES ARUBA N.V.,B2BC,Dealer
3167,VIZCAINO BEAUTY SALON & BOUTIQUE VBA,B2C,Health and Beauty
3168,I.S. INTEGRATED SECURITIES LTD A.V.V.,B2BC,Financial Services
3169,MARKETING-COMMUNICATION-TOURISM INCORPORATED N.V.,B2BC,Entertainment Services
3170,BRAZILIAN STONES GIFT ARTICLES,B2BC,Dealer
3171,STICHTING BRIDGING THE NATURAL BRIDGE,B2BC,Contractor
3172,N.T.E. CONSULT,B2C,Personal Services
3173,N.T.E. CONSULT,B2C,Personal Services
3174,BRC INDUSTRIAL SERVICES N.V.,B2BC,Plumber and/or Gas Contractor
3175,YUNDANI A.V.V.,B2BC,Food
3176,BERRYVILLE CORP N.V.,B2BC,Residential/Commercial
3177,LAKEPARK DEVELOPMENT N.V.,B2BC,Contractor
3178,AIR ARUBA N.V. (I.L.),B2BC,Dealer
3179,DUROMA INVESTMENTS N.V.,B2BC,Residential/Commercial
3180,CASABLANCA GAMING N.V.,B2BC,Entertainment Services
3181,INVESTMENTS ESTATE TREE LTD.,B2BC,Residential/Commercial
3182,SANTA CLARA INVESTMENTS LTD.,B2BC,Residential/Commercial
3183,FERRON DEVELOPMENT CORPORATION,B2BC,Contractor
3184,BOTANY INTERNATIONAL LTD.,B2BC,Dealer
3185,TAAUT HOLDING LTD,B2BC,Residential/Commercial
3186,KAIROS MANAGEMENT LTD,B2BC,Contractor
3187,VOYAT INTERNATIONAL LIMITED,B2B,Wholesale  Dealer
3188,GRANDVILLE OVERSEAS LTD.,B2BC,Referral Services
3189,AKT GROUP LTD.,B2BC,Contractor
3190,EUKI Group Ltd.,B2BC,Contractor
3191,PARKBAY INVESTMENTS LIMITED,B2BC,Residential/Commercial
3192,"RIO BLANCO RESOURCES, INC.",B2B,Wholesale  Dealer
3193,PAZ HOROWITZ ROBALINO GARCES (P.H.R.G.) INTERNACIONAL S.A.,B2BC,Contractor
3194,IBON INCORPORATED,B2BC,Contractor
3195,PEARL GALLARIES LIMITED COMPANY,B2BC,Dealer
3196,SOUTH AMERICAN FERRO METALS LIMITED,B2B,Wholesale  Dealer
3197,SITHCO INC.,B2B,Wholesale  Dealer
3198,MELROSE INVESTMENTS LIMITED,B2BC,Residential/Commercial
3199,GRANOCO LTD.,B2BC,Food
3200,Blue Eagle Re,B2BC,Contractor
3201,The PH & MQ Trust One,B2BC,Residential/Commercial
3202,The PH & MQ Trust Two,B2BC,Residential/Commercial
3203,DISE,B2BC,Food
3204,CARIBBEAN CARGO EXPRESS A.V.V.,B2BC,Moving/Transfer Service
3205,MIJED SERVICES,B2B,Janitorial Services
3206,DENNY CONSTRUCCION,B2BC,Dealer
3207,DENNY B. CONSTRUCTION VBA,B2BC,Contractor
3208,MALTA WIND PARKS LIMITED,B2BC,Contractor
3209,BLAIRTON HOLDINGS LIMITED,B2BC,Residential/Commercial
3210,"LAS TRES B, S.A.",B2BC,Entertainment Services
3211,MONALICIA VENTURES LTD.,B2BC,Residential/Commercial
3212,SOLWAY OVERSEAS LTD.,B2B,Wholesale  Dealer
3213,ARCONAS INTERNATIONAL LIMITED,B2B,Wholesale  Dealer
3214,MDV LIMITED,B2BC,Contractor
3215,ADV LIMITED,B2BC,Contractor
3216,FDV LIMITED,B2BC,Contractor
3217,CHEROKEE OVERSEAS LTD.,B2BC,Referral Services
3218,IMPRESSA GROUP CORP.,B2B,Wholesale  Dealer
3219,ORIENTAL COAL CORP.,B2B,Wholesale  Dealer
3220,MERTON INTERNATIONAL BUSINESS INC.,B2B,Wholesale  Dealer
3221,LUNA JEWELLERS INCORPORATED,B2BC,Dealer
3222,LUNA FASHION INC,B2BC,Dealer
3223,LA PLATA SSIV SHIPPING AND TRADING LIMITED,B2BC,Moving/Transfer Service
3224,Mgarr Developments Limited,B2BC,Contractor
3225,SARDU INC.,B2BC,Dealer
3226,Apex B&C Ltd,B2BC,Contractor
3227,BAHÍA 16-B S.A.,B2BC,Food
3228,Bahía 17-A S.A.,B2BC,Food
